player,player_season_group,market_value_eur,age,season_start_year,matches_played,minutes_played,minutes_per_match,average_rating,pass_accuracy_percent,long_ball_accuracy_percent,cross_accuracy_percent,goal_contributions_per90,shot_accuracy,goals_per_shot,goals_per90,assists_per90,total_shots_per90,shots_on_target_per90,big_chances_missed_per90,key_passes_per90,big_chances_created_per90,successful_dribbles_per90,accurate_passes_per90,accurate_long_balls_per90,accurate_crosses_per90,clearances_per90,yellow_cards_per90,red_cards_per90,errors_leading_to_goal_per90,dribbled_past_per90,tackles_per90,interceptions_per90,blocked_shots_per90,aerial_duels_won_per90,nationality,position,league,competition_category
Abdoulaye Doucoure,Abdoulaye Doucoure__18/19,25000000,25,2018,35,3062,87.48571428571428,6.81,83.4,54.1,18.2,0.3233180927498367,0.3269230769230769,0.09615384615384616,0.14696276943174397,0.17635532331809275,1.528412802090137,0.4996734160679295,0.14696276943174397,1.116917047681254,0.23514043109079033,0.9405617243631613,47.586544741998694,1.7341606792945787,0.05878510777269758,0.14696276943174397,0.20574787720444154,0.0,0.02939255388634879,1.1757021554539517,2.086871325930764,0.999346832135859,0.558458523840627,1.2050947093403004,MLI,Midfielder,Premier League,Domestic leagues
Abdoulaye Doucoure,Abdoulaye Doucoure__17/18,6000000,24,2017,37,3325,89.86486486486487,7.02,83.6,59.2,23.1,0.2706766917293233,0.3617021276595745,0.14893617021276595,0.18947368421052632,0.081203007518797,1.2721804511278196,0.46015037593984964,0.02706766917293233,1.0827067669172932,0.02706766917293233,1.1097744360902255,50.80601503759399,2.2736842105263158,0.162406015037594,0.24360902255639097,0.2706766917293233,0.0,0.0,1.4075187969924812,2.138345864661654,1.4616541353383459,0.2706766917293233,1.1639097744360902,MLI,Midfielder,Premier League,Domestic leagues
Abdoulaye Doucoure,Abdoulaye Doucoure__16/17,6000000,23,2016,20,1359,67.95,6.76,87.0,54.5,20.0,0.06622516556291391,0.36363636363636365,0.045454545454545456,0.06622516556291391,0.0,1.4569536423841059,0.5298013245033113,0.06622516556291391,0.7947019867549668,0.0,0.9271523178807947,48.01324503311258,1.5894039735099337,0.06622516556291391,0.26490066225165565,0.26490066225165565,0.0,0.0,1.4569536423841059,1.1258278145695364,1.390728476821192,0.46357615894039733,0.9271523178807947,MLI,Midfielder,Premier League,Domestic leagues
Abdoulaye Doucoure,Abdoulaye Doucoure__15/16,6000000,22,2015,15,1156,77.06666666666666,6.81,83.9,69.8,,0.15570934256055363,0.0,0.0,0.0,0.15570934256055363,0.7785467128027682,0.0,0.07785467128027682,0.856401384083045,0.07785467128027682,0.4671280276816609,36.43598615916955,2.8806228373702423,0.0,0.23356401384083045,0.3892733564013841,0.0,0.0,0.6228373702422145,2.413494809688581,2.413494809688581,0.3892733564013841,1.0899653979238755,MLI,Midfielder,LaLiga,Domestic leagues
Abdoulaye Doucoure,Abdoulaye Doucoure__15/16,6000000,22,2015,16,944,59.0,6.93,86.4,47.8,20.0,0.3813559322033898,0.4,0.1,0.1906779661016949,0.1906779661016949,1.9067796610169492,0.7627118644067796,0.1906779661016949,2.0021186440677967,0.1906779661016949,1.048728813559322,46.62076271186441,1.048728813559322,0.09533898305084745,0.1906779661016949,0.09533898305084745,0.0,0.0,1.1440677966101696,1.9067796610169492,1.3347457627118644,0.2860169491525424,0.9533898305084746,MLI,Midfielder,Ligue 1,Domestic leagues
Abdul Fatawu Issahaku,Abdul Fatawu Issahaku__24/25,13000000,20,2024,11,577,52.45454545454545,7.06,68.4,55.0,20.0,0.3119584055459272,0.38461538461538464,0.0,0.0,0.3119584055459272,2.027729636048527,0.779896013864818,0.1559792027729636,0.9358752166377816,0.3119584055459272,4.523396880415945,16.84575389948007,1.7157712305025996,0.9358752166377816,0.0,0.0,0.0,0.0,1.2478336221837087,3.2755632582322356,0.6239168110918544,0.3119584055459272,2.1837088388214903,GHA,Midfielder,Premier League,Domestic leagues
Abdul Fatawu Issahaku,Abdul Fatawu Issahaku__23/24,7000000,19,2023,40,2828,70.7,7.52,79.9,60.4,28.7,0.6046676096181046,0.2,0.08,0.19094766619519093,0.41371994342291374,2.386845827439887,0.47736916548797736,0.0,2.1322489391796324,1.0183875530410185,2.8642149929278644,25.84158415841584,1.9413012729844412,1.3048090523338047,0.09547383309759547,0.19094766619519093,0.03182461103253183,0.0,0.7637906647807637,1.9413012729844412,0.6364922206506365,0.5728429985855729,1.5275813295615275,GHA,Midfielder,Championship,Domestic leagues
Abdul Fatawu Issahaku,Abdul Fatawu Issahaku__22/23,3000000,18,2022,6,112,18.666666666666668,6.46,65.2,,10.0,0.0,0.25,0.0,0.0,0.0,3.2142857142857144,0.8035714285714286,0.8035714285714286,0.8035714285714286,0.0,4.821428571428571,24.107142857142858,0.0,0.8035714285714286,0.0,1.6071428571428572,0.0,0.0,3.2142857142857144,0.8035714285714286,1.6071428571428572,0.8035714285714286,1.6071428571428572,GHA,Midfielder,Liga Portugal Betclic,Domestic leagues
Abdul Fatawu Issahaku,Abdul Fatawu Issahaku__22/23,500000,18,2022,1,34,34.0,6.8,85.7,100.0,,0.0,0.0,0.0,0.0,0.0,2.6470588235294117,0.0,0.0,0.0,0.0,0.0,15.882352941176471,2.6470588235294117,,0.0,0.0,0.0,0.0,0.0,5.294117647058823,0.0,0.0,5.294117647058823,GHA,Midfielder,Taça da Liga,Domestic leagues
Abdul Fatawu Issahaku,Abdul Fatawu Issahaku__22/23,7000000,18,2022,1,1,1.0,,1.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,,,GHA,Midfielder,UEFA Europa League,International competitions
